0.04596	0.02409	0.3	1	0.0803	1	2	12.45330012
0.041	0.01936	0.4	1	0.0484	1	2	20.66115702
0.04525	0.0202	0.5	1	0.0404	1	2	24.75247525
0.04596	0.021	0.6	1	0.035	1	2	28.57142857
0.03395	0.01596	0.7	1	0.0228	1	2	43.85964912
0.02401	0.01036	0.7	1	0.0148	1	2	67.56756757
0.02616	0.01092	0.6	1	0.0182	1	2	54.94505495
0.03324	0.01488	0.3	1	0.0496	1	2	20.16129032
0.0297	0.01401	0.3	1	0.0467	1	2	21.41327623
0.02332	0.01164	0.4	1	0.0291	1	2	34.36426117
0.02334	0.01026	0.6	1	0.0171	1	2	58.47953216
0.02051	0.00847	0.7	1	0.0121	1	2	82.6446281
0.02051	0.00924	0.7	1	0.0132	1	2	75.75757576
0.02545	0.01175	0.5	1	0.0235	1	2	42.55319149
0.02968	0.01432	0.4	1	0.0358	1	2	27.93296089
0.0396	0.01881	0.3	1	0.0627	1	2	15.94896332
0.0396	0.01758	0.3	1	0.0586	1	2	17.06484642
0.02334	0.0102	0.6	1	0.017	1	2	58.82352941
0.01981	0.00868	0.7	1	0.0124	1	2	80.64516129
0.01344	0.0077	0.7	1	0.011	1	2	90.90909091
0.0167	0.008	0.5	1	0.016	1	2	62.5
0.02403	0.01197	0.3	1	0.0399	1	2	25.06265664
0.06327	0.02409	0.3	0.502947603	0.0803	1.988278686	3.370786517	6.263357451
0.05232	0.01936	0.4	0.500762698	0.0484	1.996953856	3.383458647	10.34633673
0.06205	0.02095	0.5	0.502947603	0.0419	1.988278686	3.370786517	12.00352275
0.06072	0.0219	0.6	0.502947603	0.0365	1.988278686	3.370786517	13.77938639
0.04137	0.01435	0.7	0.502947603	0.0205	1.988278686	3.370786517	24.53402943
0.03283	0.01036	0.7	0.502947603	0.0148	1.988278686	3.370786517	33.98294617
0.03192	0.01074	0.6	0.502947603	0.0179	1.988278686	3.370786517	28.09763147
0.04083	0.01488	0.3	0.502947603	0.0496	1.988278686	3.370786517	10.14007265
0.03411	0.01401	0.3	0.502947603	0.0467	1.988278686	3.370786517	10.76975596
0.03012	0.01172	0.4	0.502947603	0.0293	1.988278686	3.370786517	17.16544721
0.02994	0.00984	0.6	0.500762698	0.0164	1.996953856	3.383458647	30.53431084
0.02681	0.00847	0.7	0.500762698	0.0121	1.996953856	3.383458647	41.38534692
0.02863	0.00952	0.7	0.500762698	0.0136	1.996953856	3.383458647	36.8207866
0.03325	0.01175	0.5	0.502947603	0.0235	1.988278686	3.370786517	21.40202567
0.03868	0.01432	0.4	0.502947603	0.0358	1.988278686	3.370786517	14.04881573
0.0489	0.01881	0.3	0.502947603	0.0627	1.988278686	3.370786517	8.021492876
0.048	0.01812	0.3	0.502947603	0.0604	1.988278686	3.370786517	8.326947074
0.02862	0.0102	0.6	0.500762698	0.017	1.996953856	3.383458647	29.45662928
0.02548	0.00868	0.7	0.500762698	0.0124	1.996953856	3.383458647	40.38408853
0.01925	0.0077	0.7	0.500762698	0.011	1.996953856	3.383458647	45.52388161
0.02205	0.008	0.5	0.502947603	0.016	1.988278686	3.370786517	31.43422521
0.03006	0.01197	0.3	0.502947603	0.0399	1.988278686	3.370786517	12.60520309
0.07431	0.02409	0.3	0.332655724	0.0803	3.006110903	4.891304348	4.142661573
0.0656	0.01936	0.4	0.33459532	0.0484	2.988684963	4.864864865	6.913126436
0.0791	0.02095	0.5	0.33459532	0.0419	2.988684963	4.864864865	7.985568485
0.0645	0.0177	0.6	0.33459532	0.0295	2.988684963	4.864864865	11.34221422
0.04921	0.01316	0.7	0.33459532	0.0188	2.988684963	4.864864865	17.79762338
0.03556	0.00966	0.7	0.33459532	0.0138	2.988684963	4.864864865	24.24603765
0.04512	0.01074	0.6	0.33459532	0.0179	2.988684963	4.864864865	18.69247595
0.05043	0.01488	0.3	0.33459532	0.0496	2.988684963	4.864864865	6.745873377
0.04155	0.01401	0.3	0.33459532	0.0467	2.988684963	4.864864865	7.164782002
0.0362	0.01172	0.4	0.33459532	0.0293	2.988684963	4.864864865	11.41963548
0.03624	0.00984	0.6	0.33459532	0.0164	2.988684963	4.864864865	20.40215363
0.03493	0.00847	0.7	0.33459532	0.0121	2.988684963	4.864864865	27.65250574
0.03682	0.00952	0.7	0.33459532	0.0136	2.988684963	4.864864865	24.60259702
0.03905	0.01165	0.5	0.33459532	0.0233	2.988684963	4.864864865	14.36031414
0.04444	0.01428	0.4	0.33459532	0.0357	2.988684963	4.864864865	9.372417913
0.0612	0.01881	0.3	0.33459532	0.0627	2.988684963	4.864864865	5.336448477
0.06534	0.01812	0.3	0.33459532	0.0604	2.988684963	4.864864865	5.539657608
0.03396	0.0102	0.6	0.33459532	0.017	2.988684963	4.864864865	19.68207762
0.03178	0.00868	0.7	0.33459532	0.0124	2.988684963	4.864864865	26.98349351
0.02506	0.0077	0.7	0.33459532	0.011	2.988684963	4.864864865	30.41775632
0.0302	0.008	0.5	0.33459532	0.016	2.988684963	4.864864865	20.91220747
0.04092	0.01197	0.3	0.33459532	0.0399	2.988684963	4.864864865	8.385847607
0.010755	0.0055926	0.2151	0.480769231	0.026	2.08	3.503581439	18.49112426
0.0318348	0.0135513	0.2151	0.480769231	0.063	2.08	3.503581439	7.631257631
0.0369972	0.0152721	0.2151	0.480769231	0.071	2.08	3.503581439	6.771397616
0.0475371	0.0191439	0.2151	0.480769231	0.089	2.08	3.503581439	5.401901469
0.0587223	0.0232308	0.2151	0.480769231	0.108	2.08	3.503581439	4.451566952
